frame_no,timestamp,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
0,132.5,,,,,,,,,,40,494,467,,,,,,
1,132.5,,,,,,,,,,42,403,426,,,,,,
2,221.5,,,,,,,,,,19,316,680,,,,,,
5,273.0,7,581,611,,,,,,,,,,,,,,,
8,305.8,17,583,619,,,,,,,,,,,,,,,
9,317.5,16,585,618,,,,,,,,,,,,,,,
10,343.1,16,586,618,,,,,,,,,,,,,,,
11,375.1,16,585,618,,,,,,,,,,,,,,,
12,411.3,16,585,618,,,,,,,,,,,,,,,
13,443.3,17,585,618,,,,,,,,,,,,,,,
14,475.3,17,582,617,,,,,,,,,,,,,,,
15,511.5,17,581,616,,,,,,,,,,,,,,,
16,543.5,16,581,616,,,,,,,,,,,,,,,
17,578.9,17,579,617,,,,,,,,,,,,,,,
18,611.0,16,578,615,,,,,,,,,,,,,,,
19,643.2,17,576,615,,,,,,,,,,,,,,,
20,675.5,17,576,615,,,,,,,,,,,,,,,
21,710.9,17,576,616,,,,,,,,,,,,,,,
22,743.5,16,577,616,,,,,,,,,,,,,,,
23,776.1,16,578,614,,,,,,,,,,,,,,,
24,810.9,16,579,614,,,,,,,,,,,,,,,
25,845.0,17,581,614,,,,,,,,,,,,,,,
26,875.3,17,581,615,,,,,,,,,,,,,,,
27,911.0,17,583,616,,,,,,,,,,,,,,,
28,943.0,17,584,615,,,,,,,,,,,,,,,
29,975.1,17,585,615,,,,,,,,,,,,,,,
30,1011.0,17,585,614,,,,,,,,,,,,,,,
31,1043.2,17,584,614,,,,,,,,,,,,,,,
32,1076.8,17,584,615,,,,,,,,,,,,,,,
33,1111.3,17,582,616,,,,,,,,,,,,,,,
34,1143.1,18,580,616,,,,,,,,,,,,,,,
35,1175.1,17,579,617,,,,,,,,,,,,,,,
36,1211.7,17,579,617,,,,,,,,,,,,,,,
37,1243.0,18,577,618,,,,,,,,,,,,,,,
38,1275.0,18,576,617,,,,,,,,,,,,,,,
39,1312.9,17,577,617,,,,,,,,,,,,,,,
40,1342.9,18,576,619,,,,,,,,,,,,,,,
41,1375.2,17,578,619,,,,,,,,,,,,,,,
42,1411.2,17,580,619,,,,,,,,,,,,,,,
43,1443.5,17,580,619,,,,,,,,,,,,,,,
44,1475.4,16,582,619,,,,,,,,,,,,,,,
45,1511.0,16,583,619,,,,,,,,,,,,,,,
46,1543.2,17,584,619,,,,,,,,,,,,,,,
47,1575.5,16,585,619,,,,,,,,,,,,,,,
48,1611.5,16,585,618,,,,,,,,,,,,,,,
49,1643.4,16,585,619,,,,,,,,,,,,,,,
50,1675.0,16,585,618,,,,,,,,,,,,,,,
51,1710.8,16,583,617,,,,,,,,,,,,,,,
52,1742.9,17,582,618,,,,,,,,,,,,,,,
53,1775.2,16,580,617,,,,,,,,,,,,,,,
54,1810.8,16,579,616,,,,,,,,,,,,,,,
55,1842.9,16,578,617,,,,,,,,,,,,,,,
56,1877.5,16,577,616,,,,,,,,,,,,,,,
57,1911.0,16,577,617,,,,,,,,,,,,,,,
58,1943.1,16,577,615,,,,,,,,,,,,,,,
59,1975.3,16,577,615,,,,,,,,,,,,,,,
60,2011.0,16,578,615,,,,,,,,,,,,,,,
61,2043.2,16,580,614,,,,,,,,,,,,,,,
62,2075.2,16,581,613,,,,,,,,,,,,,,,
63,2111.0,16,582,613,,,,,,,,,,,,,,,
64,2143.4,15,583,612,,,,,,,,,,,,,,,
65,2175.3,14,584,610,,,,,,,,,,,,,,,
66,2210.9,16,585,613,,,,,,,,,,,,,,,
67,2243.9,15,584,611,,,,,,,,,,,,,,,
68,2275.1,15,585,611,,,,,,,,,,,,,,,
69,2311.3,14,583,611,,,,,,,,,,,,,,,
70,2344.5,15,581,611,,,,,,,,,,,,,,,
71,2375.8,14,581,611,,,,,,,,,,,,,,,
72,2411.4,14,579,612,,,,,,,,,,,,,,,
73,2443.0,14,578,612,,,,,,,,,,,,,,,
74,2477.5,14,576,612,,,,,,,,,,,,,,,
75,2511.1,15,576,613,,,,,,,,,,,,,,,
76,2543.2,13,578,612,,,,,,,,,,,,,,,
77,2577.5,15,577,615,,,,,,,,,,,,,,,
78,2611.3,14,578,613,,,,,,,,,,,,,,,
79,2643.4,14,578,614,,,,,,,,,,,,,,,
80,2675.4,13,580,614,,,,,,,,,,,,,,,
81,2711.0,14,583,613,,,,,,,,,,,,,,,
82,2743.1,14,584,613,,,,,,,,,,,,,,,
83,2775.2,14,583,616,,,,,,,,,,,,,,,
84,2811.1,12,584,614,,,,,,,,,,,,,,,
85,2842.9,11,585,612,,,,,,,,,,,,,,,
86,2876.3,13,584,614,,,,,,,,,,,,,,,
87,2911.0,14,583,615,,,,,,,,,,,,,,,
88,2945.1,11,584,611,,,,,,,,,,,,,,,
89,2975.2,13,582,614,,,,,,,,,,,,,,,
90,3010.9,14,580,615,,,,,,,,,,,,,,,
91,3043.4,13,579,613,,,,,,,,,,,,,,,
92,3075.2,13,578,614,,,,,,,,,,,,,,,
93,3111.4,12,578,613,,,,,,,,,,,,,,,
94,3143.4,13,577,613,,,,,,,,,,,,,,,
