frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
0,125.8,,,,,,,,,,,,,,,,,,,49,865,149,,,,,,
1,125.8,,,,,,,,,,,,,,,,,,,46,252,389,,,,,,
2,221.3,7,659,1037,,,,,,,,,,,,,,,,38,1075,642,,,,,,
3,243.3,,,,,,,,,,,,,,,,,,,15,669,104,,,,,,
5,274.5,,,,,,,,,,14,638,597,,,,,,,,,,,,,,,
6,283.2,5,647,106,,,,,,,,,,,,,,,,,,,,,,,,
7,296.4,6,647,106,,,,,,,14,637,598,,,,,,,,,,,,,,,
8,313.1,5,647,106,,,,,,,13,638,597,,,,,,,,,,,,,,,
9,323.9,,,,,,,,,,18,636,604,,,,,,,,,,,,,,,
10,341.2,,,,,,,,,,18,636,604,,,,,,,,,,,,,,,
11,373.0,,,,,,,,,,18,637,604,,,,,,,,,,,,,,,
12,409.2,,,,,,,,,,18,637,605,,,,,,,,,,,,,,,
13,441.7,,,,,,,,,,18,636,605,,,,,,,,,,,,,,,
14,473.5,,,,,,,,,,18,637,607,,,,,,,,,,,,,,,
15,509.1,,,,,,,,,,18,637,607,,,,,,,,,,,,,,,
16,541.7,,,,,,,,,,18,637,607,,,,,,,,,,,,,,,
17,573.6,,,,,,,,,,18,637,608,,,,,,,,,,,,,,,
18,609.4,,,,,,,,,,18,637,608,,,,,,,,,,,,,,,
19,641.3,,,,,,,,,,18,637,609,,,,,,,,,,,,,,,
20,673.3,,,,,,,,,,18,637,609,,,,,,,,,,,,,,,
21,710.3,,,,,,,,,,18,636,609,,,,,,,,,,,,,,,
22,743.6,,,,,,,,,,18,636,610,,,,,,,,,,,,,,,
23,773.1,,,,,,,,,,18,637,609,,,,,,,,,,,,,,,
24,809.4,,,,,,,,,,18,636,609,,,,,,,,,,,,,,,
25,841.0,,,,,,,,,,18,637,609,,,,,,,,,,,,,,,
26,877.5,,,,,,,,,,17,637,610,,,,,,,,,,,,,,,
27,909.1,,,,,,,,,,18,636,608,,,,,,,,,,,,,,,
28,941.4,5,647,106,,,,,,,18,636,608,,,,,,,,,,,,,,,
29,973.1,,,,,,,,,,18,636,609,,,,,,,,,,,,,,,
30,1009.2,,,,,,,,,,17,637,608,,,,,,,,,,,,,,,
31,1040.9,,,,,,,,,,17,637,608,,,,,,,,,,,,,,,
32,1074.2,,,,,,,,,,18,637,607,,,,,,,,,,,,,,,
33,1108.9,,,,,,,,,,17,637,606,,,,,,,,,,,,,,,
34,1145.6,,,,,,,,,,18,636,606,,,,,,,,,,,,,,,
35,1181.7,,,,,,,,,,18,637,605,,,,,,,,,,,,,,,
36,1214.2,,,,,,,,,,17,637,604,,,,,,,,,,,,,,,
37,1241.5,,,,,,,,,,18,637,604,,,,,,,,,,,,,,,
38,1273.3,,,,,,,,,,18,637,603,,,,,,,,,,,,,,,
39,1311.4,,,,,,,,,,17,637,603,,,,,,,,,,,,,,,
40,1341.5,,,,,,,,,,17,636,602,,,,,,,,,,,,,,,
41,1373.2,,,,,,,,,,17,637,602,,,,,,,,,,,,,,,
42,1411.5,,,,,,,,,,17,637,601,,,,,,,,,,,,,,,
43,1441.1,,,,,,,,,,17,637,602,,,,,,,,,,,,,,,
44,1473.3,,,,,,,,,,17,637,601,,,,,,,,,,,,,,,
45,1509.1,,,,,,,,,,17,636,600,,,,,,,,,,,,,,,
46,1541.2,,,,,,,,,,16,638,601,,,,,,,,,,,,,,,
47,1573.2,,,,,,,,,,17,637,602,,,,,,,,,,,,,,,
48,1610.0,,,,,,,,,,17,636,602,,,,,,,,,,,,,,,
49,1645.7,,,,,,,,,,17,636,601,,,,,,,,,,,,,,,
50,1673.2,,,,,,,,,,17,637,602,,,,,,,,,,,,,,,
51,1709.2,,,,,,,,,,16,638,602,,,,,,,,,,,,,,,
52,1741.5,,,,,,,,,,17,636,602,,,,,,,,,,,,,,,
53,1773.4,,,,,,,,,,16,637,604,,,,,,,,,,,,,,,
54,1809.1,,,,,,,,,,16,637,603,,,,,,,,,,,,,,,
55,1845.4,,,,,,,,,,16,636,604,,,,,,,,,,,,,,,
56,1873.5,,,,,,,,,,16,637,604,,,,,,,,,,,,,,,
57,1909.2,,,,,,,,,,15,638,605,,,,,,,,,,,,,,,
58,1941.1,,,,,,,,,,16,637,606,,,,,,,,,,,,,,,
59,1973.5,,,,,,,,,,15,638,604,,,,,,,,,,,,,,,
60,2009.1,,,,,,,,,,16,636,606,,,,,,,,,,,,,,,
61,2041.1,,,,,,,,,,17,636,607,,,,,,,,,,,,,,,
62,2073.4,,,,,,,,,,16,637,607,,,,,,,,,,,,,,,
63,2109.1,,,,,,,,,,16,638,607,,,,,,,,,,,,,,,
64,2141.3,,,,,,,,,,16,637,607,,,,,,,,,,,,,,,
65,2173.5,,,,,,,,,,15,636,606,,,,,,,,,,,,,,,
66,2208.8,,,,,,,,,,15,638,607,,,,,,,,,,,,,,,
67,2241.0,,,,,,,,,,16,637,607,,,,,,,,,,,,,,,
68,2273.1,,,,,,,,,,16,637,608,,,,,,,,,,,,,,,
69,2309.2,,,,,,,,,,16,637,608,,,,,,,,,,,,,,,
70,2345.5,,,,,,,,,,16,638,607,,,,,,,,,,,,,,,
71,2373.4,,,,,,,,,,15,639,605,,,,,,,,,,,,,,,
72,2412.1,,,,,,,,,,15,638,606,,,,,,,,,,,,,,,
73,2441.0,,,,,,,,,,15,637,605,,,,,,,,,,,,,,,
74,2473.0,,,,,,,,,,15,637,605,,,,,,,,,,,,,,,
75,2509.1,,,,,,,,,,15,639,603,,,,,,,,,,,,,,,
76,2542.8,,,,,,,,,,15,639,602,,,,,,,,,,,,,,,
77,2573.3,,,,,,,,,,14,637,601,,,,,,,,,,,,,,,
78,2609.0,,,,,,,,,,16,636,602,,,,,,,,,,,,,,,
