frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
0,137.9,,,,,,,,,,,,,,,,,,,41,879,442,,,,,,
1,137.9,,,,,,,,,,,,,,,,,,,43,966,582,,,,,,
2,244.9,5,683,601,,,,,,,,,,,,,,,,21,497,710,,,,,,
3,265.3,12,682,603,,,,,,,,,,,,,,,,7,727,604,,,,,,
5,299.5,,,,,,,,,,19,688,614,,,,,,,,,,,,,,,
6,310.5,5,647,107,,,,,,,18,688,613,,,,,,,,,,,,,,,
7,320.0,5,648,107,,,,,,,18,688,615,,,,,,,,,,,,,,,
8,333.9,5,647,107,,,,,,,18,688,615,,,,,,,,,,,,,,,
9,345.3,,,,,,,,,,19,688,616,,,,,,,,,,,,,,,
10,355.7,,,,,,,,,,19,688,615,,,,,,,,,,,,,,,
11,374.5,,,,,,,,,,19,688,615,,,,,,,,,,,,,,,
12,410.8,,,,,,,,,,19,688,616,,,,,,,,,,,,,,,
13,443.2,,,,,,,,,,19,688,615,,,,,,,,,,,,,,,
14,476.6,,,,,,,,,,19,687,615,,,,,,,,,,,,,,,
15,511.5,,,,,,,,,,19,687,615,,,,,,,,,,,,,,,
16,542.7,,,,,,,,,,19,687,615,,,,,,,,,,,,,,,
17,576.4,,,,,,,,,,19,687,616,,,,,,,,,,,,,,,
18,611.3,,,,,,,,,,19,687,616,,,,,,,,,,,,,,,
19,642.8,,,,,,,,,,19,687,616,,,,,,,,,,,,,,,
20,680.7,,,,,,,,,,19,687,617,,,,,,,,,,,,,,,
21,711.8,,,,,,,,,,19,687,617,,,,,,,,,,,,,,,
22,743.1,,,,,,,,,,19,687,618,,,,,,,,,,,,,,,
23,774.8,,,,,,,,,,19,687,617,,,,,,,,,,,,,,,
24,811.0,,,,,,,,,,19,687,617,,,,,,,,,,,,,,,
25,843.2,,,,,,,,,,19,688,618,,,,,,,,,,,,,,,
26,874.8,,,,,,,,,,19,688,619,,,,,,,,,,,,,,,
27,910.7,,,,,,,,,,19,688,619,,,,,,,,,,,,,,,
28,942.9,,,,,,,,,,19,688,619,,,,,,,,,,,,,,,
29,974.6,,,,,,,,,,19,689,619,,,,,,,,,,,,,,,
30,1010.6,,,,,,,,,,19,688,619,,,,,,,,,,,,,,,
31,1042.9,,,,,,,,,,19,689,620,,,,,,,,,,,,,,,
32,1074.8,,,,,,,,,,19,689,620,,,,,,,,,,,,,,,
33,1110.7,,,,,,,,,,19,688,620,,,,,,,,,,,,,,,
34,1142.6,,,,,,,,,,19,688,620,,,,,,,,,,,,,,,
35,1175.0,,,,,,,,,,19,689,619,,,,,,,,,,,,,,,
36,1210.8,,,,,,,,,,19,688,620,,,,,,,,,,,,,,,
37,1242.7,,,,,,,,,,18,688,621,,,,,,,,,,,,,,,
